,series_name,description,country,raw_category_name,director_name,actor_name
178,"Ngày Sô Cô La, The Day Of Chocolate","ngày sô cô la , the day of chocolate chuyển thể từ cuốn sách cùng tên từng đoạt giải thưởng của anna onichimowska , kể về cuộc phiêu lưu của hai bạn nhỏ monika và dawid . phim mang đến thông điệp về tình bạn , gia đình và sức mạnh của trí tưởng tượng của trẻ em , thứ biến điều không thể thành có thể .",ba lan,"['hành động', 'phiêu lưu', 'gia đình']",jacek piotr blawut,['other']
179,"Đặc Vụ 355, The 355","đặc vụ 355 , the 355 một loại vũ khí tối mật rơi vào tay một lính đánh thuê và các cơ quan tình báo của chính phủ từ khắp nơi trên thế giới đã cử các đặc vụ giỏi nhất để có được nó . khi tình hình ngày càng trở nên căng thẳng và nguy hiểm , điệp viên cia mace đã hợp tác cùng chuyên gia máy tính khadijah adiyeme , nhà tâm lý học graciela rivera và marie schmidt để truy tìm và bảo vệ món đồ trước khi nó bị kẻ xấu lợi dụng .",mỹ,['hành động'],simon kinberg,['jessica chastain' 'other' 'phạm băng băng']
180,"Lời Nói Dối Chân Thật, True Lies","lời nói dối chân thật , true lies nội dung của phim lời nói dối chân thật xoay quanh anh chàng harry tasker ( arnold schwarzenegger ) vốn là một đại diện bán hàng cho một công ty máy tính , đang sống cùng với một người vợ tên là helen , và một con gái , dana , trong một ngôi nhà ở vùng ngoại ô washington dc , đó là điều mà mọi người đều nghĩ như vậy . tuy nhiên , harry thực sự là một đặc vụ của một tổ chức tư nhân chuyên nghiên cứu , tìm hiểu cũng như điều tra và săn tìm về các mối hiểm họa đối với an ninh của hoa kỳ .",mỹ,"['hành động', 'hài hước']",james cameron,['arnold schwarzenegger' 'jamie lee curtis' 'other']
181,"Hành Trình Đến Thung Lũng Cấm, Journey To The Forbidden Valley","hành trình đến thung lũng cấm , journey to the forbidden valley sau vụ tai nạn máy bay xảy ra ở một vùng hẻo lánh miền trung trung quốc , trong số những hành khách sống sót có một cậu bé trung quốc và người giám hộ của cậu . trong khi chờ đợi để được giải cứu , họ chạm trán với yeren - một sinh vật người vượn được đồn đại là đã sinh sống ở vùng núi thần nông giá trong nhiều thế kỷ . liệu yeren sẽ là bạn hay thù ?",mỹ,"['hành động', 'phiêu lưu']",ethan wiley,['other']
182,"Người Khổng Lồ Xanh Phi Thường, The Incredible Hulk","người khổng lồ xanh phi thường , the incredible hulk sau nhiều năm bị biến thành kẻ nửa người nửa quái vật the hulk , nhà khoa học bruce banner vẫn phải lẩn trốn trong rừng rậm nam mỹ , tìm cách chữa trị cho chính bản thân mình . cùng lúc đó emil blonsky , kẻ luôn muốn trả thù và truy sát bruce vì hắn ta nghĩ anh chính là người đã khiến hắn trở thành một con quái vật - he abomination - và không bao giờ trở lại thành dạng người như bruce được nữa .",mỹ,"['hành động', 'viễn tưởng']",louis leterrier,['edward norton' 'other']
183,"Gác Kiếm, So Close","gác kiếm , so close với hệ thống công nghệ vệ tinh người cha quá cố để lại , hai chị em sát thủ ái lâm và ái quân đã có nhiều lợi thế vượt mặt đối thủ và pháp luật . bằng cách đột nhập vào hệ thống thông tin của nạn nhân , họ dễ dàng thành công trong những nhiệm vụ vô cùng khó khăn . nhưng một nữ điều tra viên đầy cá tính đã biết được cách tóm họ . so close - gác kiếm , xem phim gác kiếm thư kỳ , xem phim gác kiếm vietsub , xem phim gác kiếm , phim gác kiếm , xem phim gác kiếm giang hồ , phim hành động gác kiếm , phim hành động hong kong gác kiếm",hồng kông,"['hành động', 'tội phạm']",nguyên khuê,['other' 'thư kỳ' 'triệu vy']
184,"Người Hùng Báo Thù, Watchmen","người hùng báo thù , watchmen được chuyển thể từ bộ truyện tranh cùng tên nổi tiếng của alan moore ( dc comics ) , bối cảnh của phim watchmen diễn ra vào năm 1985 giả định , thời điểm mà các siêu anh hùng tồn tại , richard nixon vẫn còn là tổng thống , và cuộc chiến tranh lạnh căng thẳng giữa mỹ và liên bang xô viết đang ở đỉnh cao . ủy viên ban trật tự rorschach đang điều tra vụ ám sát comedian và khám phá ra một loạt những vụ sát hại những siêu anh hùng khác . rorschach phát hiện ra một âm mưu diện rộng liên quan đến quá khứ của những đồng nghiệp của mình khiến toàn bộ lịch sử thay đổi . bộ phim sẽ khiến khán giả mãn nhãn bới những pha hành động gay cấn đến nghẹt thở .",mỹ,"['hành động', 'viễn tưởng']",zack snyder,['malin akerman' 'matthew goode' 'other' 'patrick wilson']
185,"Ngày Kinh Hoàng, The Day After Tomorrow","ngày kinh hoàng , the day after tomorrow câu chuyện về nhà nghiên cứu thời tiết jack hall đang cố cứu lấy thế giới và cậu con trai của ông khỏi new york . the day after tomorrow kể về thảm họa về thời tiết sẽ khiến cho trái đất quay về thời kì kỷ băng hà , thứ mà nhà nghiên cứu này đang cố giải thích cho mọi người nhưng hầu như không được sự ủng hộ . một trong những bộ phim thảm họa có chi phí sản xuất cao nhất và tốn kém nhất trong lịch sử hollywood .",mỹ,"['hành động', 'huyền bí']",roland emmerich,['dennis quaid' 'jake gyllenhaal' 'other']
186,"Thái Cực Quyền: Anh Hùng Bá Đạo, Tai Chi Hero","thái cực quyền : anh hùng bá đạo , tai chi hero vào ngày thành thân của lộ thiền và ngọc nương , con trai cả nhà họ trần là tài ương trở về sau nhiều năm xa quê . những tưởng đây sẽ là tin vui cho trần gia câu , nhưng nào ngờ tài ương lại là nguyên nhân gây ra xung đột giữa lộ thiền và dân trong thôn . cùng lúc đó , phương tử kính tiếp tục nghĩ ra âm mưu mới để trả thù nhà họ trần .",trung quốc,['hành động'],phùng đức luân,['angelababy' 'lương gia huy' 'other' 'phùng đức luân' 'thư kỳ']
187,"Thần Thám Ẩn Thành 1, The Hidden Town 1","thần thám ẩn thành 1 , the hidden town 1 một vị lão gia được phát hiện chết một cách bí ẩn tại tư gia . vì vụ án mang nhiều yếu tố siêu nhiên , thầy thuốc tài năng bạch thanh la và cao thủ phá án thập sinh phải dấn thân vào cuộc hành trình đến thành phố bí ẩn để khám phá sự thật .",trung quốc,"['phiêu lưu', 'tâm lý', 'cổ trang']",tiết vấn hóa,['cáo tư văn' 'thái bội trì' 'uyển quỳnh đan']
188,"Rambo: Hồi Kết Đẫm Máu, Rambo: Last Blood","rambo : hồi kết đẫm máu , rambo : last blood john rambo khi về già sống bình yên và biệt lập ở arizona bên cô cháu gái gabriella và người bạn cũ maria . ông dành tình thương cho gabriella , nhưng không ngăn được cô lên đường đi tìm bố đẻ ở mexico . chuyến đi mang lại tai họa cho gabriella khi cô bị lừa và bán làm gái mại dâm cho một băng đảng tội phạm khét tiếng ở mexico . chứng kiến cháu gái chịu đủ mọi hành hạ , rambo liều mình dấn thân vào một cuộc chiến sinh tử .",mỹ,['hành động'],adrian grunberg,['other' 'sylvester stallone']
189,"Khế Ước Linh Hồn, Spiritpact","khế ước linh hồn , spiritpact là hậu duệ của một gia đình pháp sư trừ ma nổi tiếng , dương kính hoa lại bị lâm vào cảnh nghèo đói sau khi cha mẹ qua đời . để kiếm sống , anh làm nghề xem bói dạo và sửa máy tính . vào một đêm trong bãi rác , kính hoa đã gặp phải pháp sư đoan mộc hy bí ẩn . cuộc gặp gỡ này là vận rủi , kính hoa bị một chiếc xe tông vào và trở thành hồn ma . với sự xuất hiện của chàng pháp sư đẹp trai tư đồ luật , họ đã cùng nhau đi khắp nơi để diệt trừ ma quỷ .",trung quốc,['hành động'],tiết lăng,['other']
190,"Tân Bao Thanh Thiên: Huyết Thù Cổ, Justice Bao","tân bao thanh thiên : huyết thù cổ , justice bao bắc tống và nhà liêu xảy ra chiến tranh , trấn bạch vân bị quân liêu bao vây trong ba tháng . không có thực phẩm , người dân khó sống qua ngày . có tin đồn rằng người dân trong thành đã bị sát hại và những cái chết kỳ lạ đã xảy ra trong doanh trại quân liêu ở ngoài thành . lúc này , bao chửng nhận lệnh đến điều tra vụ án sau khi bị giáng chức . các bí mật dần dần được hé lộ , nhưng sự thật đằng sau đó còn kinh hoàng hơn những gì mà ông tưởng tượng .",trung quốc,['hành động'],tăng khánh kiệt,['huỳnh duy đức' 'trương thiên kỳ' 'trần tín triết']
191,"Biệt Đội Đánh Thuê 2, The Expendables 2","biệt đội đánh thuê 2 , the expendables 2 tốc độ , bùng nổ , xả thân , những người hùng của biệt đội đánh thuê tiếp tục nhận nhiệm vụ mới , nhưng không may một thành viên trong đội bị sát hại . cả nhóm quyết tâm vào tận hang ổ của kẻ địch để trả thù nhưng họ không ngờ mình đang đi vào chỗ chết với một khối thuốc nổ plutonium năm tấn dưới chân chỉ chờ nổ tung , có thể làm thay đổi cả bộ mặt thế giới .",mỹ,['hành động'],simon west,"['arnold schwarzenegger' 'jason statham' 'lý liên kiệt' 'other'
 'sylvester stallone']"
192,"Huyền Thoại Robin Hood, Robin Hood","huyền thoại robin hood , robin hood lãnh chúa robin xứ loxley , chàng chiến binh mạnh mẽ , cùng chỉ huy người moor khởi đầu cuộc nổi dậy táo bạo chống lại vương triều anh đã thối nát lấy danh thập tự chinh bóc lột dân chúng . một cuộc phiêu lưu hành động ly kỳ mở ra những chiến trường khốc liệt , những trận chiến đấu hùng tráng và một mối tình vượt thời gian .",mỹ,['hành động'],otto bathurst,['eve hewson' 'jamie foxx' 'other' 'taron egerton']
193,"Người Vận Chuyển 2, Transporter 2","người vận chuyển 2 , transporter 2 người vận chuyển frank tiếp tục bắt đầu hành trình đầy nghẹt thở của mình giải cứu hai cậu bé con trai của gia đình tỷ phú billing và khám phá ra mưu đồ thực sự đằng sau vụ bắt cóc . phần phim thứ 2 này tiếp tục là những pha rượt đuổi trên những chiếc siêu xe của loạt phim hành động nổi tiếng với diễn xuất của jason staham .",mỹ,"['tội phạm', 'hành động']",unknow,['francois berleand' 'jason flemyng' 'jason statham']
194,"Quân Thù Trước Cửa, Enemy At the Gates","quân thù trước cửa , enemy at the gates chuyện phim tái hiện những chiến công của xạ thủ huyền thoại vasily grigoryevich zaitsev - anh hùng của quân đội liên xô trong trận đánh stalingrad ( năm 1942 ) và cuộc đối đầu cùng xạ thủ đức erwin konig . trong khi zaitsev trở thành nỗi ám ảnh và hạ sát quân đức một cách đều đặn thì könig cũng lần lượt giết hết bạn bè của zaitsev , bản thân zaitsev cũng suýt nữa trở thành nạn nhân của konig nếu không nhờ sự may mắn . bộ phim có sự tham gia của dàn sao rất nổi tiếng như jude law , ed harris và mỹ nhân tóc đen rachel weisz . anh hùng ca bi tráng về chiến tranh thế giới thứ ii .",mỹ,"['hành động', 'chiến tranh', 'tâm lý']",jean-jacques annaud,['jude law' 'other' 'rachel weisz']
195,"Anh Hùng, Hero","anh hùng , hero là một trong những phim xuất sắc nhất của đạo diễn trương nghệ mưu , quy tụ dàn siêu sao của màn bạc trung quốc . tác phẩm đã mang về thắng lợi lớn trên lĩnh vực thương mại và được giới chuyên môn đánh giá cao . xoay quanh nhiệm vụ ám sát tần thủy hoàng của một sát thủ mang tên vô danh . hoàng cung vốn dĩ canh phòng cẩn mật , liệu vô danh có hoàn thành sứ mệnh của một thích khách ?",trung quốc,"['hành động', 'tâm lý']",trương nghệ mưu,['chương tử di' 'other' 'trương mạn ngọc']
196,"Hoắc Nguyên Giáp, Fearless","hoắc nguyên giáp , fearless hoắc nguyên giáp từ bé đã có ước mơ được nối tiếp cha mình trở thành cao thủ võ thuật trung hoa . trải qua khó khăn và thử thách , cuối cùng nguyên giáp cũng đạt được ước nguyện đó . nhưng rồi một số biến cố xảy đến khiến cho anh phải vắng mặt một thời gian . tài năng của anh tỏa sáng trở lại khi dám một mình thách đấu và đánh bại các võ sĩ trung quốc , nhật bản và tây âu trong cuộc đọ sức diễn ra tại thượng hải ...",trung quốc,['hành động'],ronny yu,['lý liên kiệt' 'other']
197,"Bẫy Thời Gian, Time Trap","bẫy thời gian , time trap một nhóm thám hiểm vô tình bị rơi xuống vực thẳm và họ nhận ra rằng thời gian bên dưới vực diễn ra khác với bên trên . trong lúc tìm đường thoát thân , nhóm thám hiểm nhận ra không chỉ có duy nhất một mình họ ở tại đó … cuộc phiêu lưu ly kỳ của họ từ bây giờ mới thực sự bắt đầu . cuộc hành trình điên cuồng ' không lối thoát ' nơi thời gian đảo lộn .",mỹ,"['hành động', 'viễn tưởng', 'phiêu lưu']",mark dennis,['other']
198,"Địch Nhân Kiệt: Thông Thiên Đế Quốc, Detective Dee: Mystery Of The Phantom Flame","địch nhân kiệt : thông thiên đế quốc , detective dee : mystery of the phantom flame vài tuần trước lễ đăng quang của nữ hoàng võ tắc thiên , kinh thành lạc dương bị chấn động bởi những cái chết đầy bí ẩn , gây kinh hoàng , đặc biệt hầu hết nạn nhân đều là người thân cận của hoàng đế . người tài duy nhất có thể phá án là địch nhân kiệt nhưng ông lại đang bị đày ải do từng chống lại võ hậu . cuối cùng địch nhân kiệt cũng chấp nhận hợp tác với một chuyên gia ma thuật và cải trang , nhưng nguy hiểm đang chờ họ thật ngoài sức tưởng tượng .",trung quốc,"['hành động', 'phiêu lưu', 'tâm lý']",tsui hark,['lưu gia linh' 'lưu đức hoa' 'lương gia huy' 'other' 'đặng siêu']
199,"Thập Nguyệt Vi Thành, Bodyguards And Assassins","thập nguyệt vi thành , bodyguards and assassins triều đình mãn châu bí mật phái người ám sát lãnh tụ tôn trung sơn nhân sự kiện ông đến hồng kông quyên góp cho phong trào khởi nghĩa . sứ mệnh bảo vệ ông đè nặng trên vai một nhóm những cao thủ có thân thế khác nhau buộc họ phải sẵn sàng hy sinh mạng sống , quên mình vì nghiệp lớn . bộ phim đậm chất võ thuật hiếm hoi quy tụ dàn diễn viên đắt giá nhất của màn ảnh hoa ngữ .",hồng kông,['hành động'],teddy chan,['chân tử đan' 'hồ quân' 'other' 'tạ đình phong']
200,"Nâng Cấp, Upgrade","nâng cấp , upgrade grey và vợ đang có một cuộc sống vô cùng hạnh phúc thì tai họa bỗng dưng ập đến khiến anh mất đi tất cả chỉ trong chớp mắt . để bắt đầu cuộc sống mới và tìm kiếm kẻ giết vợ mình , grey đã chấp nhận cấy ghép con chíp thông minh stem vào cơ thể . nhưng khi đi sâu tìm hiểu , một sự thật không ngờ lại được hé lộ . phim upgrade , upgrade , xem phim upgrade , phim upgrade ( 2018 ) , upgrade ( 2018 ) , xem phim upgrade thuyết minh , phim upgrade vietsub , phim upgrade full hd , phim upgrade bản đẹp , phim mỹ upgrade , phim hành động upgrade , nâng cấp , phim nâng cấp , xem phim nâng cấp , phim nâng cấp vietsub , phim nâng cấp thuyết minh , phim hành động mỹ nâng cấp , phim nâng cấp ( 2018 ) , leigh whannell , logan marshall-green , betty gabriel , harrison gilbertson , melanie vallejo , linda cropper , clayton jacobson , sachin joab , richard cawthorne",mỹ,"['hành động', 'tâm lý']",leigh whannell,['other']
201,"Tiểu Quái Woochi, Woochi","tiểu quái woochi , woochi bộ phim xoay quanh cuộc đấu tranh của một pháp sư với các yêu tinh , đặc biệt miêu tả hình ảnh hiệp khách chuyên đi trừng trị bọn quan tham vô lại . 500 năm trước , jeon woo chi bị hãm hại , phải chịu oan ức và bị nhốt trong một bức tranh . tới 500 năm sau vào thời hiện đại , jeon woo chi mới được thả ra và lại tiếp tục câu chuyện đấu tranh với lũ yêu tinh thời hiện đại .",hàn quốc,"['hành động', 'phiêu lưu', 'hài hước']",choi dong-hoon,['im soo jung' 'kang dong won' 'kim yoon seok' 'yu hae jin']
202,"24 Giờ Hồi Sinh, 24 Hours to Live","24 giờ hồi sinh , 24 hours to live sau một cuộc phẫu thuật , sát thủ travis conrad được hồi sinh từ cõi chết và có đúng 24 giờ sống lại . anh chấp nhận hợp tác với chính nữ đặc vụ đã giết chết mình nhằm trả thù tổ chức tội phạm đã sát hại vợ con mình . liệu travis có hoàn thành tâm nguyện khi từng giây trôi qua , tử thần lại càng đến gần hơn ?",mỹ,"['hành động', 'tội phạm', 'viễn tưởng']",brian smrz,['ethan hawke' 'other']
203,"Không Lối Thoát, No Chance","không lối thoát , no chance khi con gái bị một nhóm tội phạm quốc tế bắt cóc , john mantrixx thề sẽ bằng mọi cách bắt chúng phải trả giá . với sự giúp đỡ của nhà khoa học xinh đẹp , tiến sĩ dawn bergmann , mantrixx sẽ đương đầu với những thử thách mới và cả những kẻ thù cũ của mình .",mỹ,"['hành động', 'tội phạm']",matt poitras,['other']
204,"Chiến Binh Bình Minh, Warriors of the Dawn","chiến binh bình minh , warriors of the dawn năm 1952 , nhật bản tấn công vào lãnh thổ triều tiên mở đầu cho cuộc chiến tranh xâm lược . vị vua nhu nhược và hèn nhát seonjo đã trốn chạy sang nhà minh nhằm bảo toàn mạng sống của chính mình và bỏ rơi những thần dân khổ cực của đất nước giữa cuộc chiến khốc liệt này . trước mối nguy mất nước , hoàng tử gwanghae đã đứng lên lãnh đạo quân đội của triều đình , dùng tất cả tính mạng để bảo vệ an nguy của dân tộc . to woo là thủ lĩnh của một nhóm lính đánh thuê gồm những sát thủ dũng mãnh nhất triều tiên . ông được giao nhiệm vụ bảo vệ hoàng tử , phò tá người chiến đấu chống lại quân đội nhật bản . họ sẽ phải trải qua một cuộc chiến tranh dài và tàn khốc để bảo vệ dân chúng và đất nước . liệu một vị hoàng tử trẻ tuổi và một tên sát thủ giang hồ có thể làm nên lịch sử ? đứng lên giữa biển lửa .",hàn quốc,"['hành động', 'cổ trang']",jeong yoon-cheol,['esom' 'lee jung jae' 'other' 'yeo jin goo']
205,"Chuyến Bay Sinh Tử, The Captain","chuyến bay sinh tử , the captain chiếc máy bay mang số hiệu 3 u8633 đang thực hiện hành trình từ trùng khánh đi lhasa , tây tạng thì bị vỡ kính buồng lái lúc tăng độ cao . cơ trưởng dựa vào ý chí , nghị lực của mình để đưa máy bay thoát khỏi hiểm cảnh , bảo đảm sự an toàn cho hành khách , tạo ra kỳ tích trong lịch sử hàng không dân dụng thế giới .",trung quốc,"['hành động', 'tâm lý']",lưu vĩ cường,['other' 'trương hàm dư']
206,"Cẩm Y Vệ, 14 Blades","cẩm y vệ , 14 blades hoàng đế triều minh lập một tổ chức sát thủ gồm các cao thủ võ nghệ vô song tên “ cẩm y vệ ” . sóng gió bắt đầu khi chỉ huy thanh long được giao nhiệm vụ cướp binh phù , tuy nhiên chàng phát hiện ra đây chỉ là cái cớ nhằm tạo phản của bè lũ hoạn quan . phim tập hợp dàn sao hàng đầu của điện ảnh hoa ngữ .",trung quốc,['hành động'],daniel lee,['chân tử đan' 'hồng kim bảo' 'triệu vy' 'từ tử san']
207,"Liêu Trai Quần Yêu Phổ, Monster Hunter","liêu trai quần yêu phổ , monster hunter a bảo , một tiểu thư khuê các , được cho rằng bị chứng ly hồn . cha cô đã treo thưởng cho người có thể chữa trị được . tiêu cửu , người chuyên bắt yêu nghiệt , đã phát hiện a bảo bị yêu ma quấy rối và mắc kẹt trong giấc mơ của chính mình . tiêu cửu đã đi vào giấc mơ và giải cứu cho a bảo .",trung quốc,['hành động'],trần hoài phu,['other' 'vương hải tường']
208,"Vùng Đất Quỷ Dữ: Hồi Cuối, Resident Evil: The Final Chapter","vùng đất quỷ dữ : hồi cuối , resident evil : the final chapter alice trong phần này sẽ phải quay lại nơi những ác mộng bắt đầu - thành phố raccoon city , địa điểm mà tập đoàn umbrella đang tập trung mọi nguồn lực để tấn công nhóm người sống sót sau thảm họa zombie . cô sẽ phải nhờ tới sự giúp đỡ của những người bạn xung quanh để chiến đấu với các chủng loài zombie mới . resident evil : the final chapter - vùng đất quỷ dữ : hồi cuối , phim hanh dong vung dat quy du , phim hanh dong my vung dat quy du hoi cuoi , vung dat quy du , xem phim vung dat quy du thuyet minh hd , vietsub vung dat quy du hoi cuoi",mỹ,"['hành động', 'phiêu lưu']",paul w . s . anderson,['milla jovovich' 'other']
209,"Quỷ Đỏ, Hellboy","quỷ đỏ , hellboy sau khi bị giam cầm suốt hàng chục thế kỷ thì nữ hoàng máu cuối cùng cũng đã được toàn vẹn thân xác trở lại và quyết tâm gieo mầm dịch bệnh hòng xóa sổ loài người . quỷ đỏ hellboy một lần nữa phải đương đầu với mụ ta để giải cứu loài người khỏi mối nguy diệt vong .",mỹ,['hành động'],neil marshall,['ian mcshane' 'milla jovovich' 'other' 'sasha lane']
210,"Siêu Cớm, Hot Fuzz","siêu cớm , hot fuzz nicholas angel , một cảnh sát giỏi và gương mẫu do làm phật lòng cấp trên nên bị điều công tác đến một miền quê hẻo lánh , nơi chưa từng xảy ra một vụ án mạng nào trong suốt 20 năm . đồng sự tại nơi làm việc mới của nich là danny , một chàng trai vào nghề cảnh sát chỉ vì muốn trở thành người hùng như phim hành động . tuy nhiên , nicholas sớm tẩy não cái ý tưởng trẻ con của danny . ngay khi nicholas vừa ổn định được cuộc sống của mình ở nơi làm việc mới cũng là lúc anh phát hiện ngôi làng này không yên bình như mọi người vẫn tưởng . hàng loạt vụ án liên tiếp xảy ra buộc anh và cấp dưới ngờ nghệch của mình , danny phải bắt tay vào giải quyết và họ vô tình phát hiện ra một sự thật không ai ngờ ... hơi thở anh quốc từ đạo diễn edgar wright .",anh,"['hành động', 'hài hước']",edgar wright,['jim broadbent' 'nick frost' 'other' 'simon pegg']
211,"Tòa Tháp Chọc Trời, Skyscraper","tòa tháp chọc trời , skyscraper trong một lần làm nhiệm vụ , đặc vụ will sawyer bất ngờ gặp nạn , mất đi chân trái phải bỏ nghề . mười năm sau tai nạn , anh hạnh phúc và vui vẻ với một vợ hai con cùng nghề mới là chuyên viên an ninh cho các tòa nhà cao tầng . cuộc đời will xảy ra bước ngoặc lớn khi anh được giới thiệu làm công tác an ninh cho tòa tháp ngọc cao nhất thế giới - 240 tầng giữa đất hồng kông .",mỹ,"['hành động', 'tâm lý']",rawson marshall thurber,['dwayne johnson' 'other']
212,"Bonnie Và Clyde Chiến Dracula, Bonnie & Clyde vs. Dracula","bonnie và clyde chiến dracula , bonnie & clyde vs . dracula sau một vụ cướp bất thành , cặp đôi bonnie and clyde vô tình chọn nhầm vào biệt thự của một ma cà rồng mới hồi sinh để "" hành nghề "" . chuyện gì sẽ xảy ra khi những gangster sống ngoài vòng pháp luật đụng độ với ma cà rồng ? mời các bạn theo dõi bộ phim . khi gangster đụng độ ma cà rồng .",usa,['tội phạm'],unknow,['other']
213,"Chiến Thắng Biển Sâu, The Deep","chiến thắng biển sâu , the deep một ngư dân tên gulli đã sống sót sau một vụ chìm tàu và phải tìm cách quay lại đất liền . trong khi hầu hết mọi người không thể cầm cự được lâu , gulli đã tìm cách xoay xở trên biển bắc đại tây dương trong sáu tiếng và đi bộ trên những hòn đá nhọn thêm hai tiếng nữa . ông nói chuyện với lũ mòng biển và bắt đầu nhớ lại về cuộc đời mình , cũng như những nghĩ về những gì ông sẽ làm khi ông sống sót . đây là một bộ phim về sự bền bỉ và dũng cảm , được thể hiện qua cuộc đấu tranh sinh tồn của gulli trên biển và cuộc sống của ông sau khi trở về đất liền .",iceland,['hành động'],baltasar kormákur,['other']
214,"Lạc Ngoài Không Gian, Zathura: A Space Adventure","lạc ngoài không gian , zathura : a space adventure câu chuyện bắt đầu sau khi ông bố ra ngoài có việc , hai anh em danny và walter tình cờ khám phá một bộ trò chơi cũ nát có tên zathura . sau khi dụ dỗ ông anh chơi cùng không được , danny quyết định chơi một mình . ngay khi bắt đầu , cậu bé nhận ra đây không phải một trò chơi bình thường .",mỹ,"['hành động', 'hài hước', 'phiêu lưu']",jon favreau,['josh hutcherson' 'other']
215,"Tôn Ngộ Không: Thật Giả Mỹ Hầu Vương, The True Monkey King","tôn ngộ không : thật giả mỹ hầu vương , the true monkey king lục nhĩ và hầu cát ở hoa quả sơn vốn là huynh đệ thân thiết . lục nhĩ vô tình gặp được long như ý và có được chuỗi tràng hạt . vì tìm phép thuật bảo vệ hoa quả sơn , chúng không quản đường xa vạn dặm đến thiên trụ , gặp lại long như ý . lục nhĩ bị xà yêu dẫn dụ , giết chết lão hầu khiến huynh đệ trở mặt . hầu cát được bồ tát cảm hóa , bảo vệ đường tăng đi tây thiên thỉnh kinh . khi hầu cát bị sư phụ đuổi đi , lục nhĩ nhân cơ hội này trà trộn .",trung quốc,['hành động'],từ phi,['other']
216,"Tiền Định, Predestination","tiền định , predestination một mật vụ sống ở năm 1992 phải quay về năm 1975 để ngăn chặn một kẻ đánh bom gây nên cái chết của 10 nghìn người . tại mốc thời gian 1975 , anh đóng giả làm người pha chế và gặp một vị khách tên john . john kể cho anh nghe câu chuyện về cuộc đời mình , là quá trình từ một cô gái tên jane dần dần trở thành người đàn ông john . hai câu chuyện tưởng như không liên quan đến nhau đã mở ra một trường không gian liên kết bất ngờ .",úc,"['hành động', 'huyền bí']",michael spierig,['ethan hawke' 'other']
217,"Lucy Siêu Phàm, Lucy","lucy siêu phàm , lucy lucy bị ép buộc vận chuyển chất cấm bằng cách giấu nó trong cơ thể . chẳng may , bọc thuốc bị vỡ và hóa chất bên trong ngấm vào máu của cô . từ một cô gái bình thường , lucy trở thành siêu nhân có thể sử dụng hết 100 % công năng của não bộ .",pháp,"['hành động', 'huyền bí', 'tâm lý']",luc besson,['choi min sik' 'morgan freeman' 'scarlett johansson']
218,"Đường Ống, Pipeline","đường ống , pipeline gun woo , ông chủ của công ty lọc dầu giàu có , lên kế hoạch thuê năm người có kỹ năng và đào hầm dưới một khách sạn trá hình để khoan vào đường ống dẫn dầu quốc gia nhằm mục đích trộm dầu bán kiếm lời . tuy nhiên , nội bộ của nhóm bắt đầu lục đục do khác biệt về tính cách cùng với đó là sự truy lùng của cảnh sát khiến kế hoạch có nguy cơ tan vỡ .",hàn quốc,['hành động'],yoo ha,['lee soo hyuk' 'other' 'seo in guk']
219,"Trăng Rơi, Moonfall","trăng rơi , moonfall brian harper từng là phi hành gia có tiếng nhưng bị sa thải vì phát ngôn điên rồ về một thực thể lạ trên mặt trăng . nhiều năm sau , khi mặt trăng lệch khỏi quỹ đạo và chuẩn bị va vào trái đất , đồng đội cũ của brian là jo fowler mới biết được sự thật về câu chuyện của anh năm xưa . cùng brian và một thanh niên đam mê thuyết âm mưu , cả ba bỏ lại gia đình sau lưng và dấn thân vào cuộc chiến một đi không trở lại nhằm giải cứu thế giới .",mỹ,"['hành động', 'viễn tưởng']",roland emmerich,['halle berry' 'other' 'patrick wilson']
220,"Sứ Đồ Hành Giả, Line Walker","sứ đồ hành giả , line walker đinh tỷ ( xa thi mạn ) một lần nữa thâm nhập vào thế giới ngầm để tìm kiếm tung tích của 6 vị cảnh sát chìm . trong quá trình này , đinh tỷ đụng độ 2 nhân vật máu mặt trong giới xã hội đen : một là ông trùm ma túy có hành tung bất định ( cổ thiên lạc ) , hai là sát thủ máu lạnh không gì ngăn cản được mục tiêu của hắn ( trương gia huy ) . trong lúc làm nhiệm vụ , đinh tỷ được sự giúp đỡ của cấp trên tài ba là q-sir ( ngô trấn vũ ) . quá trình điều tra của cô ngày càng phức tạp khi đột nhiên đinh tỷ nhận được tin nhắn nặc danh cho biết uc thứ 6 có thể chính là nhân vật do cổ thiên lạc và trương gia huy thủ diễn . cuộc đụng độ giữa nữ cảnh sát xa thi mạn cùng ông trùm ma túy cổ thiên lạc và sát thủ máu lạnh trương gia huy .",trung quốc,"['hành động', 'tâm lý', 'tội phạm']",văn vĩ hồng,['cổ thiên lạc' 'ngô trấn vũ' 'other']
221,"Ranh Giới 2: Siêu Sát Thủ, Sicario: Day Of The Soldado","ranh giới 2 : siêu sát thủ , sicario : day of the soldado một vụ đánh bom liều chết tại thành phố kansas đã khiến 15 thường dân vô tội thiệt mạng . nghi ngờ các băng đảng tội phạm ở mexico đã hỗ trợ vận chuyển những kẻ đánh bom tới mỹ , chính phủ quyết định liệt các băng đảng đó vào danh sách khủng bố và tìm cách tiêu diệt chúng tận gốc .",mỹ,"['hành động', 'tội phạm']",stefano sollima,['benicio del toro' 'catherine keener' 'josh brolin' 'other']
